Antecedente;Valor;Consequente;Valor;Conf;Lift;Lev;Conv
processo ;79963;reclamacao ;10605;0,13;2,99;0;1,1
reclamacao ;207044;processo ;10605;0,05;2,99;0;1,04
corte-bt ;489093;ren toi ;10567;0,02;2,9;0;1,01
corte-bt ;489093;toi ;10567;0,02;2,9;0;1,01
corte-bt ren ;52998;toi ;10567;0,2;26,8;0;1,24
corte-bt toi ;10567;ren ;10567;1;15,23;0;9873,15
ren ;306902;corte-bt toi ;10567;0,03;15,23;0;1,03
ren toi ;34778;corte-bt ;10567;0,3;2,9;0;1,29
toi ;34778;corte-bt ;10567;0,3;2,9;0;1,29
toi ;34778;corte-bt ren ;10567;0,3;26,8;0;1,42
ren ;306902;verif-instalacao-bt ;10484;0,03;2,59;0;1,02
verif-instalacao-bt ;61563;ren ;10484;0,17;2,59;0;1,13
negativacao ;913226;substituicao-bt ;9169;0,01;1,84;0;1
substituicao-bt ;25541;negativacao ;9169;0,36;1,84;0;1,26
religacao-bt ;383478;verif-instalacao-bt ;9126;0,02;1,81;0;1,01
verif-instalacao-bt ;61563;religacao-bt ;9126;0,15;1,81;0;1,08
negativacao ;913226;ren toi ;8644;0,01;1,27;0;1
negativacao ;913226;toi ;8644;0,01;1,27;0;1
negativacao ren ;79738;toi ;8644;0,11;14,57;0;1,11
negativacao toi ;8644;ren ;8644;1;15,23;0;8076,42
ren ;306902;negativacao toi ;8644;0,03;15,23;0;1,03
ren toi ;34778;negativacao ;8644;0,25;1,27;0;1,07
toi ;34778;negativacao ;8644;0,25;1,27;0;1,07
toi ;34778;negativacao ren ;8644;0,25;14,57;0;1,31
corte-bt ;489093;modifmanut-medic-bt ;8508;0,02;1,65;0;1,01
modifmanut-medic-bt ;49414;corte-bt ;8508;0,17;1,65;0;1,08
negativacao ;913226;religacao-bt processo ;8452;0,01;2,66;0;1,01
negativacao processo ;26936;religacao-bt ;8452;0,31;3,82;0;1,34
negativacao religacao-bt ;236137;processo ;8452;0,04;2,09;0;1,02
processo ;79963;negativacao religacao-bt ;8452;0,11;2,09;0;1,06
religacao-bt ;383478;negativacao processo ;8452;0,02;3,82;0;1,02
religacao-bt processo ;16272;negativacao ;8452;0,52;2,66;0;1,67
negativacao ;913226;reclamacao verif-instalacao-bt ;8045;0,01;1,98;0;1
negativacao reclamacao ;82075;verif-instalacao-bt ;8045;0,1;7,44;0;1,09
negativacao verif-instalacao-bt ;19365;reclamacao ;8045;0,42;9,38;0;1,63
reclamacao ;207044;negativacao verif-instalacao-bt ;8045;0,04;9,38;0;1,04
reclamacao verif-instalacao-bt ;20774;negativacao ;8045;0,39;1,98;0;1,31
verif-instalacao-bt ;61563;negativacao reclamacao ;8045;0,13;7,44;0;1,13
modifmanut-medic-bt ;49414;religacao-bt ;7741;0,16;1,91;0;1,09
religacao-bt ;383478;modifmanut-medic-bt ;7741;0,02;1,91;0;1,01
alterar-carga-bt ;13586;vistoria-bt ;7659;0,56;197,86;0;2,29
vistoria-bt ;13317;alterar-carga-bt ;7659;0,58;197,86;0;2,35
modifmanut-medic-bt ;49414;ren ;7112;0,14;2,19;0;1,09
ren ;306902;modifmanut-medic-bt ;7112;0,02;2,19;0;1,01
corte-bt ;489093;ren fiscalizacao-bt ;7104;0,01;5,33;0;1,01
corte-bt fiscalizacao-bt ;46776;ren ;7104;0,15;2,31;0;1,1
corte-bt ren ;52998;fiscalizacao-bt ;7104;0,13;9,77;0;1,14
fiscalizacao-bt ;64097;corte-bt ren ;7104;0,11;9,77;0;1,11
ren ;306902;corte-bt fiscalizacao-bt ;7104;0,02;2,31;0;1,01
ren fiscalizacao-bt ;12739;corte-bt ;7104;0,56;5,33;0;2,02
corte-bt ;489093;religacao-bt verif-instalacao-bt ;6984;0,01;7,31;0;1,01
corte-bt religacao-bt ;308806;verif-instalacao-bt ;6984;0,02;1,72;0;1,01
corte-bt verif-instalacao-bt ;11365;religacao-bt ;6984;0,61;7,49;0;2,38
religacao-bt ;383478;corte-bt verif-instalacao-bt ;6984;0,02;7,49;0;1,02
religacao-bt verif-instalacao-bt ;9126;corte-bt ;6984;0,77;7,31;0;3,81
verif-instalacao-bt ;61563;corte-bt religacao-bt ;6984;0,11;1,72;0;1,05
reclamacao ;207044;solicitacaoouvidoria ;6878;0,03;11,22;0;1,03
solicitacaoouvidoria ;13841;reclamacao ;6878;0,5;11,22;0;1,9
corte-bt ;489093;negativacao verif-instalacao-bt ;6673;0,01;3,29;0;1,01
corte-bt verif-instalacao-bt ;11365;negativacao ;6673;0,59;3,01;0;1,95
negativacao ;913226;corte-bt verif-instalacao-bt ;6673;0,01;3,01;0;1
negativacao corte-bt ;304318;verif-instalacao-bt ;6673;0,02;1,66;0;1,01
negativacao verif-instalacao-bt ;19365;corte-bt ;6673;0,34;3,29;0;1,37
verif-instalacao-bt ;61563;negativacao corte-bt ;6673;0,11;1,66;0;1,05
afericao-bt ;27085;corte-bt ;6642;0,25;2,34;0;1,19
corte-bt ;489093;afericao-bt ;6642;0,01;2,34;0;1,01
fiscalizacao-bt ;64097;reclamacao ;6627;0,1;2,33;0;1,07
reclamacao ;207044;fiscalizacao-bt ;6627;0,03;2,33;0;1,02
reclamacao ;207044;substituicao-bt ;6174;0,03;5,46;0;1,03
substituicao-bt ;25541;reclamacao ;6174;0,24;5,46;0;1,26
negativacao ;913226;ren reclamacao ;6169;0,01;2,04;0;1
negativacao reclamacao ;82075;ren ;6169;0,08;1,14;0;1,01
negativacao ren ;79738;reclamacao ;6169;0,08;1,75;0;1,04
reclamacao ;207044;negativacao ren ;6169;0,03;1,75;0;1,01
ren ;306902;negativacao reclamacao ;6169;0,02;1,14;0;1
ren reclamacao ;15503;negativacao ;6169;0,4;2,04;0;1,34
afericao-bt ;27085;religacao-bt ;6154;0,23;2,77;0;1,19
religacao-bt ;383478;afericao-bt ;6154;0,02;2,77;0;1,01
corte-bt ;489093;religacao-bt modifmanut-medic-bt ;6002;0,01;7,41;0;1,01
corte-bt modifmanut-medic-bt ;8508;religacao-bt ;6002;0,71;8,6;0;3,12
corte-bt religacao-bt ;308806;modifmanut-medic-bt ;6002;0,02;1,84;0;1,01
modifmanut-medic-bt ;49414;corte-bt religacao-bt ;6002;0,12;1,84;0;1,06
religacao-bt ;383478;corte-bt modifmanut-medic-bt ;6002;0,02;8,6;0;1,01
religacao-bt modifmanut-medic-bt ;7741;corte-bt ;6002;0,78;7,41;0;3,98
reclamacao ;207044;religacao-bt ren ;5848;0,03;3,74;0;1,02
religacao-bt ;383478;ren reclamacao ;5848;0,02;4,6;0;1,01
religacao-bt reclamacao ;57459;ren ;5848;0,1;1,55;0;1,04
religacao-bt ren ;35276;reclamacao ;5848;0,17;3,74;0;1,15
ren ;306902;religacao-bt reclamacao ;5848;0,02;1,55;0;1,01
ren reclamacao ;15503;religacao-bt ;5848;0,38;4,6;0;1,47
substituicao-bt ;25541;verif-instalacao-bt ;5846;0,23;17,38;0;1,28
verif-instalacao-bt ;61563;substituicao-bt ;5846;0,09;17,38;0;1,1
fiscalizacao-bt ;64097;negativacao ren ;5626;0,09;5,14;0;1,08
negativacao ;913226;ren fiscalizacao-bt ;5626;0,01;2,26;0;1
negativacao fiscalizacao-bt ;35516;ren ;5626;0,16;2,41;0;1,11
negativacao ren ;79738;fiscalizacao-bt ;5626;0,07;5,14;0;1,06
ren ;306902;negativacao fiscalizacao-bt ;5626;0,02;2,41;0;1,01
ren fiscalizacao-bt ;12739;negativacao ;5626;0,44;2,26;0;1,44
corte-bt ;489093;reclamacao fiscalizacao-bt ;5540;0,01;7,99;0;1,01
corte-bt fiscalizacao-bt ;46776;reclamacao ;5540;0,12;2,67;0;1,08
corte-bt reclamacao ;55364;fiscalizacao-bt ;5540;0,1;7,3;0;1,1
fiscalizacao-bt ;64097;corte-bt reclamacao ;5540;0,09;7,3;0;1,08
reclamacao ;207044;corte-bt fiscalizacao-bt ;5540;0,03;2,67;0;1,02
reclamacao fiscalizacao-bt ;6627;corte-bt ;5540;0,84;7,99;0;5,45
afericao-bt ;27085;negativacao reclamacao ;5360;0,2;11,27;0;1,22
negativacao ;913226;reclamacao afericao-bt ;5360;0,01;2,23;0;1
negativacao afericao-bt ;11442;reclamacao ;5360;0,47;10,58;0;1,8
negativacao reclamacao ;82075;afericao-bt ;5360;0,07;11,27;0;1,06
reclamacao ;207044;negativacao afericao-bt ;5360;0,03;10,58;0;1,02
reclamacao afericao-bt ;12320;negativacao ;5360;0,44;2,23;0;1,42
corte-bt ;489093;ren reclamacao ;5287;0,01;3,26;0;1,01
corte-bt reclamacao ;55364;ren ;5287;0,1;1,45;0;1,03
corte-bt ren ;52998;reclamacao ;5287;0,1;2,25;0;1,06
reclamacao ;207044;corte-bt ren ;5287;0,03;2,25;0;1,01
ren ;306902;corte-bt reclamacao ;5287;0,02;1,45;0;1,01
ren reclamacao ;15503;corte-bt ;5287;0,34;3,26;0;1,36
afericao-bt ;27085;corte-bt religacao-bt ;5153;0,19;2,88;0;1,15
corte-bt ;489093;religacao-bt afericao-bt ;5153;0,01;8;0;1,01
corte-bt afericao-bt ;6642;religacao-bt ;5153;0,78;9,46;0;4,09
corte-bt religacao-bt ;308806;afericao-bt ;5153;0,02;2,88;0;1,01
religacao-bt ;383478;corte-bt afericao-bt ;5153;0,01;9,46;0;1,01
religacao-bt afericao-bt ;6154;corte-bt ;5153;0,84;8;0;5,5
corte-bt ;489093;reclamacao verif-instalacao-bt ;5049;0,01;2,32;0;1,01
corte-bt reclamacao ;55364;verif-instalacao-bt ;5049;0,09;6,92;0;1,09
corte-bt verif-instalacao-bt ;11365;reclamacao ;5049;0,44;10,03;0;1,72
reclamacao ;207044;corte-bt verif-instalacao-bt ;5049;0,02;10,03;0;1,02
reclamacao verif-instalacao-bt ;20774;corte-bt ;5049;0,24;2,32;0;1,18
verif-instalacao-bt ;61563;corte-bt reclamacao ;5049;0,08;6,92;0;1,08
corte-bt ;489093;negativacao modifmanut-medic-bt ;5033;0,01;3,06;0;1,01
corte-bt modifmanut-medic-bt ;8508;negativacao ;5033;0,59;3,03;0;1,97
modifmanut-medic-bt ;49414;negativacao corte-bt ;5033;0,1;1,56;0;1,04
negativacao ;913226;corte-bt modifmanut-medic-bt ;5033;0,01;3,03;0;1
negativacao corte-bt ;304318;modifmanut-medic-bt ;5033;0,02;1,56;0;1,01
negativacao modifmanut-medic-bt ;15703;corte-bt ;5033;0,32;3,06;0;1,32
negativacao ;913226;religacao-bt verif-instalacao-bt ;5012;0,01;2,81;0;1
negativacao religacao-bt ;236137;verif-instalacao-bt ;5012;0,02;1,61;0;1,01
negativacao verif-instalacao-bt ;19365;religacao-bt ;5012;0,26;3,15;0;1,24
religacao-bt ;383478;negativacao verif-instalacao-bt ;5012;0,01;3,15;0;1,01
religacao-bt verif-instalacao-bt ;9126;negativacao ;5012;0,55;2,81;0;1,78
verif-instalacao-bt ;61563;negativacao religacao-bt ;5012;0,08;1,61;0;1,03
negativacao ;913226;solicitacaoouvidoria ;4980;0,01;1,84;0;1
solicitacaoouvidoria ;13841;negativacao ;4980;0,36;1,84;0;1,26
processo ;79963;religacao-bt reclamacao ;4976;0,06;5,06;0;1,05
reclamacao ;207044;religacao-bt processo ;4976;0,02;6,9;0;1,02
reclamacao processo ;10605;religacao-bt ;4976;0,47;5,72;0;1,73
religacao-bt ;383478;reclamacao processo ;4976;0,01;5,72;0;1,01
religacao-bt processo ;16272;reclamacao ;4976;0,31;6,9;0;1,38
religacao-bt reclamacao ;57459;processo ;4976;0,09;5,06;0;1,08
corte-bt ;489093;negativacao toi ;4933;0,01;5,45;0;1,01
corte-bt toi ;10567;negativacao ;4933;0,47;2,39;0;1,51
negativacao ;913226;corte-bt toi ;4933;0,01;2,39;0;1
negativacao corte-bt ;304318;toi ;4933;0,02;2,18;0;1,01
negativacao toi ;8644;corte-bt ;4933;0,57;5,45;0;2,08
toi ;34778;negativacao corte-bt ;4933;0,14;2,18;0;1,09
negativacao ;913226;reclamacao processo ;4896;0,01;2,36;0;1
negativacao processo ;26936;reclamacao ;4896;0,18;4,1;0;1,17
negativacao reclamacao ;82075;processo ;4896;0,06;3,49;0;1,05
processo ;79963;negativacao reclamacao ;4896;0,06;3,49;0;1,05
reclamacao ;207044;negativacao processo ;4896;0,02;4,1;0;1,02
reclamacao processo ;10605;negativacao ;4896;0,46;2,36;0;1,49
reclamacao ;207044;religacao-bt verif-instalacao-bt ;4650;0,02;11,5;0;1,02
reclamacao verif-instalacao-bt ;20774;religacao-bt ;4650;0,22;2,73;0;1,18
religacao-bt ;383478;reclamacao verif-instalacao-bt ;4650;0,01;2,73;0;1,01
religacao-bt reclamacao ;57459;verif-instalacao-bt ;4650;0,08;6,14;0;1,07
religacao-bt verif-instalacao-bt ;9126;reclamacao ;4650;0,51;11,5;0;1,95
verif-instalacao-bt ;61563;religacao-bt reclamacao ;4650;0,08;6,14;0;1,07
religacao-bt ;383478;substituicao-bt ;4622;0,01;2,21;0;1,01
substituicao-bt ;25541;religacao-bt ;4622;0,18;2,21;0;1,12
fiscalizacao-bt ;64097;religacao-bt reclamacao ;4602;0,07;5,84;0;1,06
reclamacao ;207044;religacao-bt fiscalizacao-bt ;4602;0,02;3,7;0;1,02
reclamacao fiscalizacao-bt ;6627;religacao-bt ;4602;0,69;8,46;0;3
religacao-bt ;383478;reclamacao fiscalizacao-bt ;4602;0,01;8,46;0;1,01
religacao-bt fiscalizacao-bt ;28078;reclamacao ;4602;0,16;3,7;0;1,14
religacao-bt reclamacao ;57459;fiscalizacao-bt ;4602;0,08;5,84;0;1,07
corte-bt ;489093;reclamacao processo ;4568;0,01;4,12;0;1,01
corte-bt processo ;18620;reclamacao ;4568;0,25;5,54;0;1,27
corte-bt reclamacao ;55364;processo ;4568;0,08;4,82;0;1,07
processo ;79963;corte-bt reclamacao ;4568;0,06;4,82;0;1,05
reclamacao ;207044;corte-bt processo ;4568;0,02;5,54;0;1,02
reclamacao processo ;10605;corte-bt ;4568;0,43;4,12;0;1,57
fiscalizacao-bt ;64097;negativacao reclamacao ;4505;0,07;4;0;1,06
negativacao ;913226;reclamacao fiscalizacao-bt ;4505;0;3,48;0;1
negativacao fiscalizacao-bt ;35516;reclamacao ;4505;0,13;2,86;0;1,09
negativacao reclamacao ;82075;fiscalizacao-bt ;4505;0,05;4;0;1,04
reclamacao ;207044;negativacao fiscalizacao-bt ;4505;0,02;2,86;0;1,01
reclamacao fiscalizacao-bt ;6627;negativacao ;4505;0,68;3,48;0;2,51
corte-bt ;489093;substituicao-bt ;4344;0,01;1,63;0;1
substituicao-bt ;25541;corte-bt ;4344;0,17;1,63;0;1,08
afericao-bt ;27085;negativacao corte-bt ;4342;0,16;2,46;0;1,11
corte-bt ;489093;negativacao afericao-bt ;4342;0,01;3,63;0;1,01
corte-bt afericao-bt ;6642;negativacao ;4342;0,65;3,35;0;2,32
negativacao ;913226;corte-bt afericao-bt ;4342;0;3,35;0;1
negativacao afericao-bt ;11442;corte-bt ;4342;0,38;3,63;0;1,44
negativacao corte-bt ;304318;afericao-bt ;4342;0,01;2,46;0;1,01
modifmanut-medic-bt ;49414;negativacao religacao-bt ;4306;0,09;1,72;0;1,04
negativacao ;913226;religacao-bt modifmanut-medic-bt ;4306;0;2,85;0;1
negativacao modifmanut-medic-bt ;15703;religacao-bt ;4306;0,27;3,34;0;1,26
negativacao religacao-bt ;236137;modifmanut-medic-bt ;4306;0,02;1,72;0;1,01
religacao-bt ;383478;negativacao modifmanut-medic-bt ;4306;0,01;3,34;0;1,01
religacao-bt modifmanut-medic-bt ;7741;negativacao ;4306;0,56;2,85;0;1,81
modifmanut-medic-bt ;49414;substituicao-bt ;4263;0,09;15,79;0;1,09
substituicao-bt ;25541;modifmanut-medic-bt ;4263;0,17;15,79;0;1,19
religacao-bt ;383478;ren toi ;3912;0,01;1,37;0;1
religacao-bt ;383478;toi ;3912;0,01;1,37;0;1
religacao-bt ren ;35276;toi ;3912;0,11;14,9;0;1,12
religacao-bt toi ;3912;ren ;3912;1;15,23;0;3655,13
ren ;306902;religacao-bt toi ;3912;0,01;15,23;0;1,01
ren toi ;34778;religacao-bt ;3912;0,11;1,37;0;1,03
toi ;34778;religacao-bt ;3912;0,11;1,37;0;1,03
toi ;34778;religacao-bt ren ;3912;0,11;14,9;0;1,12
modifmanut-medic-bt ;49414;negativacao reclamacao ;3897;0,08;4,49;0;1,07
negativacao ;913226;reclamacao modifmanut-medic-bt ;3897;0;1,87;0;1
negativacao modifmanut-medic-bt ;15703;reclamacao ;3897;0,25;5,6;0;1,27
negativacao reclamacao ;82075;modifmanut-medic-bt ;3897;0,05;4,49;0;1,04
reclamacao ;207044;negativacao modifmanut-medic-bt ;3897;0,02;5,6;0;1,02
reclamacao modifmanut-medic-bt ;10674;negativacao ;3897;0,37;1,87;0;1,27
corte-bt ;489093;solicitacaoouvidoria ;3828;0,01;2,64;0;1
negativacao ;913226;vistoria-bt ;3828;0;1,47;0;1
solicitacaoouvidoria ;13841;corte-bt ;3828;0,28;2,64;0;1,24
vistoria-bt ;13317;negativacao ;3828;0,29;1,47;0;1,13
afericao-bt ;27085;corte-bt reclamacao ;3770;0,14;11,75;0;1,15
corte-bt ;489093;reclamacao afericao-bt ;3770;0,01;2,92;0;1,01
corte-bt afericao-bt ;6642;reclamacao ;3770;0,57;12,81;0;2,21
corte-bt reclamacao ;55364;afericao-bt ;3770;0,07;11,75;0;1,07
reclamacao ;207044;corte-bt afericao-bt ;3770;0,02;12,81;0;1,02
reclamacao afericao-bt ;12320;corte-bt ;3770;0,31;2,92;0;1,29
fiscalizacao-bt ;64097;religacao-bt ren ;3753;0,06;7,76;0;1,05
religacao-bt ;383478;ren fiscalizacao-bt ;3753;0,01;3,59;0;1,01
religacao-bt fiscalizacao-bt ;28078;ren ;3753;0,13;2,04;0;1,08
religacao-bt ren ;35276;fiscalizacao-bt ;3753;0,11;7,76;0;1,1
ren ;306902;religacao-bt fiscalizacao-bt ;3753;0,01;2,04;0;1,01
ren fiscalizacao-bt ;12739;religacao-bt ;3753;0,29;3,59;0;1,3
religacao-bt ;383478;solicitacaoouvidoria ;3697;0,01;3,26;0;1,01
solicitacaoouvidoria ;13841;religacao-bt ;3697;0,27;3,26;0;1,25
negativacao ;913226;ren processo ;3693;0;1,68;0;1
negativacao processo ;26936;ren ;3693;0,14;2,09;0;1,08
